long_id,my_id,library
CC_GBC579_NFE_17,A03_2,2
CC_GBC580_TM_16,H02_1_2,2
CC_GBC583_TM_20,D03_1_2,2
CC_GBC585_NFE_19,C03_2,2
Gb_BS_imp_18R6_s_38,F05_1,1
Gb_BS_imp_9I4_s_39,G05_1,1
Gb_Can_M_Trip8_75.1_d_69,E09_2,2
Gb_Can_M_Trip8_75.2_d_70,F09_2,2
Gb_Can_M_Trip8_75.3_d_71,G09_2,2
Gb_Can_S_15O6_d_75,C10_2,2
Gb_Can_S_16P6_s_55,G07_1,1
Gb_Can_S_17Q3_d_77,E10_2,2
Gb_Can_S_23W6_d_78,F10_2,2
Gb_Can_S_2B6_d_76,D10_2,2
Gb_Can_S_5E2_s_44,D06_1,1
Gb_Can_S_8H6_s_54,F07_1,1
Gb_FS_MPA_14N4_s_50,B07_1,1
Gb_FS_MPA_20T6_s_49,A07_1,1
Gb_FS_MPA_22V2_s_51,C07_1,1
Gb_RSB_MPA_13M4_d_74,B10_2,2
Gb_RSB_MPA_13M5_d_72,H09_2,2
Gb_RSB_MPA_18R4_d_73,A10_2,2
Gb_Sva_20T5_s_25,A04_1_2,1
Gb_Sva_7G6_s_26,B04_1_2,1
Gb_Sw_15O5_s_21,E03_1_2,2
Gg_OK_274_d_95,G12_2,2
Gg_OK_275_d_96,H12_2,2
Gh_Can_M_Trip8_75.5_d_66,B09_2,2
Gh_Can_M_Trip8_75.7_d_67,C09_2,2
Gh_Can_M_Trip8_75.8_d_68,D09_2,2
Gh_Ice_A11_641_B_s_25,A04_1_2,2
Gh_Ice_ME85_3_1123_2_C_d_59,C08_1,2
Gh_Ice_ME85_3_1123_B_d_60,D08_1,2
Gh_Ice_ME85_3_1132_A_s_32,H04_1_2,1
Gh_JMR_SM_AGT03_26_d_93,E12_2,2
Gh_JMR_SM_AGT03_27_d_94,F12_2,2
Gh_KS_197.1_s_57,A08_1,1
Gh_KS_200.5_s_58,B08_1,1
Gh_Vst_011TVG_004B_d_92,D12_2,2
Gh_Vst_019TVG_003B_d_90,B12_2,2
Gh_Vst_019TVG_010B_d_91,C12_2,2
Gh_Vst_045TVG_005B_i_61,E08_1,2
Gh_Vst_045TVG_011B_i_62,F08_1,1
Gh_Vst_045TVG_012B_i_64,H08_1,2
NEGATIVE_18,B03_2,2
NEGATIVE_34,B05_1,1
NEGATIVE_63,G08_1,1
NEGATIVE_65,A09_2,2
POSITIVE_07,G01_1,1
POSITIVE_24,H03_1_2,1
POSITIVE_32,H04_1_2,2
POSITIVE_48,H06_1,1
POSITIVE_80,H10_2,2
Pv_FS_MPA_01601_s_52,D07_1,2
Pv_FS_MPA_01602_s_26,B04_1_2,2
Pv_FS_MPA_01603_s_53,E07_1,2
Pv_NoS_11452_s_08,H01_1,1
Pv_NoS_11456_s_22,F03_2,2
Pv_NoS_Notag_s_09,A02_1,1
Pv_NwK_ST5_38_s_29,E04_1,1
Pv_NwK_ST5_39_s_30,F04_1,1
Pv_RB_11218_s_13,E02_1,1
Pv_RB_11221_s_23,G03_2,2
Pv_RB_1418_s_15,G02_1,1
Pv_RB_1420_s_16,H02_1_2,1
Pv_RB_MPA_11417_s_20,D03_1_2,1
Pv_RB_MPA_11419_s_21,E03_1_2,1
Pv_RB_MPA_1865_s_24,H03_1_2,2
Pv_RB_MPA_1866_s_14,F02_1,1
Pv_SMK_ROV25_12_s_33,A05_1,1
Pv_SMK_ROV25_13_s_35,C05_1,1
Pv_SMK_ROV25_14_s_36,D05_1,1
Pv_SRT_046_26_s_11,C02_1,1
Pv_SRT_046_49_s_12,D02_1,1
Pv_SSNd_H044_01642_s_45,E06_1,1
Pv_SSNd_H044_01643_s_46,F06_1,1
Pv_SSNd_H044_01645_s_47,G06_1,1
Pv_Sw_11_s_05,E01_1,1
Pv_Sw_9_s_04,D01_1,1
,,
