long_id,date,month,year
Gb_BS_imp_9I4_s_39,03/08/2017,March,2017
Gb_Can_M_Trip8_75.1_d_69,18/10/2016,October,2016
Gb_Can_M_Trip8_75.2_d_70,19/10/2016,October,2016
Gb_Can_M_Trip8_75.3_d_71,20/10/2016,October,2016
Gb_Can_S_15O6_d_75,Oct-14,October,2014
Gb_Can_S_16P6_s_55,Oct-14,October,2014
Gb_Can_S_17Q3_d_77,Oct-14,October,2014
Gb_Can_S_23W6_d_78,Oct-14,October,2014
Gb_Can_S_2B6_d_76,Oct-14,October,2014
Gb_Can_S_5E2_s_44,Oct-14,October,2014
Gb_Can_S_8H6_s_54,Oct-14,October,2014
Gb_FS_MPA_14N4_s_50,26/08/2018,August,2018
Gb_FS_MPA_20T6_s_49,26/08/2018,August,2018
Gb_FS_MPA_22V2_s_51,26/08/2018,August,2018
Gb_RSB_MPA_13M4_d_74,20/09/2016,September,2016
Gb_RSB_MPA_13M5_d_72,20/09/2016,September,2016
Gb_RSB_MPA_18R4_d_73,20/09/2016,September,2016
Gb_Sva_20T5_s_25,2016,NA,2016
Gb_Sva_7G6_s_26,22/09/2011,September,2011
Gh_Can_M_Trip8_75.5_d_66,22/10/2016,October,2016
Gh_Can_M_Trip8_75.7_d_67,24/10/2016,October,2016
Gh_Can_M_Trip8_75.8_d_68,25/10/2016,October,2016
Gh_Ice_A11_641_B_s_25,No info,NA,2019
Gh_Ice_ME85_3_1123_2_C_d_59,14/09/2011,September,2011
Gh_Ice_ME85_3_1123_B_d_60,14/09/2011,September,2011
Gh_JMR_SM_AGT03_26_d_93,25/07/2014,July,2014
Gh_JMR_SM_AGT03_27_d_94,25/07/2014,July,2014
Gh_Vst_019TVG_010B_d_91,23/08/2019,August,2019
Pv_FS_MPA_01601_s_52,26/08/2018,August,2018
Pv_FS_MPA_01602_s_26,26/08/2018,August,2018
Pv_FS_MPA_01603_s_53,26/08/2018,August,2018
Pv_NoS_11452_s_08,29/01/2019,January,2019
Pv_NoS_11456_s_22,29/01/2019,January,2019
Pv_NoS_Notag_s_09,29/01/2019,January,2019
Pv_NwK_ST5_38_s_29,09/09/2016,September,2016
Pv_NwK_ST5_39_s_30,09/09/2016,September,2016
Pv_RB_11218_s_13,28/09/2018,September,2018
Pv_RB_11221_s_23,28/09/2018,September,2018
Pv_RB_1418_s_15,02/05/2018,May,2018
Pv_RB_1420_s_16,02/05/2018,May,2018
Pv_RB_MPA_11417_s_20,26/09/2018,September,2018
Pv_RB_MPA_11419_s_21,26/09/2018,September,2018
Pv_RB_MPA_1865_s_24,29/04/2018,April,2018
Pv_RB_MPA_1866_s_14,29/04/2018,April,2018
Pv_SMK_ROV25_12_s_33,No info,NA,2017
Pv_SMK_ROV25_13_s_35,No info,NA,2017
Pv_SMK_ROV25_14_s_36,No info,NA,2017
Pv_SRT_046_26_s_11,26/10/2016,October,2016
Pv_SRT_046_49_s_12,26/10/2016,October,2016
Pv_SSNd_H044_01642_s_45,08/05/2018,May,2018
Pv_SSNd_H044_01643_s_46,08/05/2018,May,2018
Pv_SSNd_H044_01645_s_47,08/05/2018,May,2018
Pv_Sw_11_s_05,28/03/2019,March,2019
Pv_Sw_9_s_04,28/03/2019,March,2019
